Player Name,Pos.,Birthdate,Birthplace,Country,Seasons,GP,G,A,Pts,PIM,Yrs.,Birthplace_original,Country_original
Jordan Spence,D,24-02-2001,"Manly, Australia",Australia,2021-2026,253,15,77,92,52,5,"Manly, Australia",Australia
Andre Burakovsky,L,09-02-1995,"Klagenfurt, Austria",Austria,2014-2026,771,164,256,420,183,12,"Klagenfurt, Austria",Austria
Andreas Nodl,R,28-02-1987,"Vienna, Austria",Austria,2008-2013,183,15,21,36,28,5,"Vienna, Austria",Austria
Christoph Brandner,L,05-07-1975,"Bruck, Austria",Austria,2003-2004,35,4,5,9,8,1,"Bruck, Austria",Austria
David Reinbacher,D,25-10-2004,"Hohenems, Austria",Austria,2025-2026,2,0,1,1,0,1,"Hohenems, Austria",Austria
Marco Kasper,C,08-04-2004,"Innsbruck, Austria",Austria,2022-2026,159,28,28,56,67,3,"Innsbruck, Austria",Austria
Marco Rossi,C,23-09-2001,"Feldkirch, Austria",Austria,2021-2026,235,57,79,136,95,5,"Feldkirch, Austria",Austria
Marko Dano,C,30-11-1994,"Eisenstadt, Austria",Austria,2014-2020,141,19,26,45,49,6,"Eisenstadt, Austria",Austria
Michael Grabner,R,05-10-1987,"Villach, Austria",Austria,2009-2020,640,175,101,276,110,11,"Villach, Austria",Austria
Michael Raffl,L,01-12-1988,"Villach, Austria",Austria,2013-2022,590,89,90,179,235,9,"Villach, Austria",Austria
Reinhard Divis,G,04-07-1975,"Vienna, Austria",Austria,2001-2006,28,0,0,0,2,4,"Vienna, Austria",Austria
Thomas Poeck,D,02-12-1981,"Klagenfurt, Austria",Austria,2003-2009,118,8,9,17,55,5,"Klagenfurt, Austria",Austria
Thomas Vanek,L,19-01-1984,"Vienna, Austria",Austria,2005-2019,1029,373,416,789,547,14,"Vienna, Austria",Austria
Andre Deveaux,C,23-02-1984,"Freeport, Bahamas",Bahamas,2008-2012,31,0,2,2,104,3,"Freeport, Bahamas",Bahamas
Aleksei Kolosov,G,04-01-2002,"Minsk, Belarus",Belarus,2024-2026,21,0,0,0,0,2,"Minsk, Belarus",Belarus
Alexander Andrijevski,L,10-08-1968,"Minsk, Belarus",Belarus,1992-1993,1,0,0,0,0,1,"Minsk, Belarus",Belarus
Aliaksei Protas,C,06-01-2001,"Vitebsk, Belarus",Belarus,2021-2026,321,68,103,171,58,5,"Vitebsk, Belarus",Belarus
Andrei Kostitsyn,R,03-02-1985,"Novopolotsk, Belarus",Belarus,2005-2012,398,103,119,222,181,7,"Novopolotsk, Belarus",Belarus
Artyom Levshunov,D,28-10-2005,"Zhlobin, Belarus",Belarus,2024-2026,86,2,28,30,52,2,"Zhlobin, Belarus",Belarus
Daniil Misyul,D,20-10-2000,"Minsk, Belarus",Belarus,2024-2025,1,0,0,0,0,1,"Minsk, Belarus",Belarus
Dmitri Korobov,D,12-03-1989,"Novopolotsk, Belarus",Belarus,2013-2014,3,0,1,1,2,1,"Novopolotsk, Belarus",Belarus
Ilya Protas,C,18-07-2006,"Vitebsk, Belarus",Belarus,2025-2026,4,1,3,4,2,1,"Vitebsk, Belarus",Belarus
Ilya Solovyov,D,20-07-2000,"Mogilev, Belarus",Belarus,2023-2026,45,1,11,12,22,3,"Mogilev, Belarus",Belarus
Konstantin Koltsov,R,17-04-1981,"Minsk, Belarus",Belarus,2002-2006,144,12,26,38,50,3,"Minsk, Belarus",Belarus
Maksim Sushko,R,10-02-1999,"Drogichin, Belarus",Belarus,2020-2021,2,0,0,0,0,1,"Drogichin, Belarus",Belarus
Nikita Tolopilo,G,06-04-2000,"Minsk, Belarus",Belarus,2024-2026,23,0,0,0,2,2,"Minsk, Belarus",Belarus
Oleg Mikulchik,D,27-06-1964,"Minsk, Belarus",Belarus,1993-1996,37,0,3,3,33,3,"Minsk, Belarus",Belarus
Raman Hrabarenka,D,24-08-1992,"Mogilev, Belarus",Belarus,2014-2015,1,0,0,0,0,1,"Mogilev, Belarus",Belarus
Ruslan Salei,D,02-11-1974,"Minsk, Belarus",Belarus,1996-2011,917,45,159,204,1065,14,"Minsk, Belarus",Belarus
Sergei Bautin,D,11-03-1967,"Rahachow, Belarus",Belarus,1992-1996,132,5,25,30,176,3,"Rahachow, Belarus",Belarus
Sergei Kostitsyn,R,20-03-1987,"Novopolotsk, Belarus",Belarus,2007-2013,353,67,109,176,188,6,"Novopolotsk, Belarus",Belarus
Vladislav Kolyachonok,D,26-05-2001,"Minsk, Belarus",Belarus,2021-2026,87,5,12,17,22,5,"Minsk, Belarus",Belarus
Yegor Sharangovich,C,06-06-1998,"Minsk, Belarus",Belarus,2020-2026,438,116,110,226,71,6,"Minsk, Belarus",Belarus
Jan Benda,D,28-04-1972,"Reet, Belgium",Belgium,1997-1998,9,0,3,3,6,1,"Reet, Belgium",Belgium
Sean Day,D,09-01-1998,"Leuven, Belgium",Belgium,2021-2022,2,0,0,0,0,1,"Leuven, Belgium",Belgium
Robyn Regehr,D,19-04-1980,"Recife, Brazil",Brazil,1999-2015,1090,36,163,199,972,15,"Recife, Brazil",Brazil
Craig Adams,R,26-04-1977,"Seria, Brunei",Brunei,2000-2015,951,55,105,160,683,14,"Seria, Brunei",Brunei
Alexandar Georgiev,G,10-02-1996,"Ruse, Bulgaria",Bulgaria,2017-2025,303,0,8,8,6,8,"Ruse, Bulgaria",Bulgaria
A.J. Greer,L,14-12-1996,"Joliette, QC, Canada",Canada,2016-2026,326,36,45,81,448,9,"Joliette, QC, Canada",Canada
Aaron Dell,G,04-05-1989,"Airdrie, AB, Canada",Canada,2016-2023,130,0,1,1,2,7,"Airdrie, AB, Canada",Canada
Aaron Downey,R,27-08-1974,"Shelburne, ON, Canada",Canada,1999-2009,243,8,10,18,494,9,"Shelburne, ON, Canada",Canada
