Code,Unite,Pays,Population,NbJoueurs,TotalPts,NbElite,TauxPar100k,QL,PtsPar100k,RangBrut,RangTaux,DeplacementRang
SK,Saskatchewan,Canada,1132505,541,59724,7,47.77020852005069,24.82792483161324,5273.619101019422,4,1,3
MB,Manitoba,Canada,1342153,413,37942,1,30.771454521205854,15.993050553489477,2826.9504296455025,6,2,4
PE,Ile-du-Prince-Edouard,Canada,154331,34,4399,0,22.0305706565758,11.450093462108839,2850.367068184616,19,3,16
ON,Ontario,Canada,14223942,2447,313896,31,17.203388484008162,8.941230305719047,2206.8143978652333,1,4,-3
AB,Alberta,Canada,4262635,669,69439,6,15.694517592991192,8.157014908228067,1629.0158552163157,3,5,-2
NT,Territoires du Nord-Ouest,Canada,41070,5,700,0,12.174336498660823,6.32744802310517,1704.407109812515,37,6,31
QC,Quebec,Canada,8501833,892,117026,18,10.491855109362886,5.453000898878276,1376.4796368030284,2,7,-5
NS,Nouvelle-Ecosse,Canada,969383,86,11694,5,8.87162246501125,4.610906724497525,1206.334338440018,11,8,3
BC,Colombie-Britannique,Canada,5000879,423,47967,4,8.458512993415757,4.396198620309634,959.1713776718053,5,9,-4
NB,Nouveau-Brunswick,Canada,775610,54,4203,0,6.962261961552842,3.6185422252632593,541.8960560075295,14,10,4
NL,Terre-Neuve-et-Labrador,Canada,510550,32,2966,0,6.267750465184605,3.257579194941039,580.9421212417981,20,11,9
MN,Minnesota,USA,5706494,315,32135,1,5.5200268325875745,2.868959870887895,563.1303563974658,7,12,-5
YT,Yukon,Canada,40232,2,272,0,4.971167230065619,2.583697457833857,676.0787432889242,46,13,33
MA,Massachusetts,USA,7029917,225,25119,2,3.20060677814546,1.663472422775663,357.3157407121592,8,14,-6
ND,Dakota du Nord,USA,779094,21,607,0,2.6954385478517353,1.4009180141260273,77.9110094545716,25,15,10
RI,Rhode Island,USA,1097379,23,1146,0,2.095903056282287,1.0893174877786753,104.43064793476091,23,16,7
MI,Michigan,USA,10077331,207,23096,2,2.054115320812624,1.0675988730339088,229.18766883810804,9,17,-8
AK,Alaska,USA,733391,15,1731,0,2.0452937109945446,1.0630139597115154,236.02689424877042,28,18,10
NH,New Hampshire,USA,1377529,15,705,0,1.088906295257668,0.5659444345104807,51.17859587711039,28,19,9
CT,Connecticut,USA,3605944,36,4209,0,0.9983516105630037,0.5188798523283477,116.72394246832452,17,20,-3
NY,New York,USA,20201249,150,17312,2,0.7425283456483309,0.385919143379099,85.69767146575937,10,21,-11
WI,Wisconsin,USA,5893718,41,7093,1,0.6956559509633817,0.36155784524017276,120.34847951666502,15,22,-7
ME,Maine,USA,1362359,9,328,0,0.6606188236727617,0.34334776850747334,24.075886018296206,32,23,9
IL,Illinois,USA,12812508,79,7069,0,0.6165849808640119,0.32046176961458933,55.17264847756583,12,24,-12
MO,Missouri,USA,6154913,27,3405,1,0.43867395038727597,0.227994898980411,55.3216592988398,22,25,-3
CO,Colorado,USA,5773714,22,1428,0,0.38103723184071814,0.1980389879649891,24.732780321297522,24,26,-2
NJ,New Jersey,USA,9288994,32,4494,0,0.34449370943721136,0.17904598258725837,48.37983531908837,20,27,-7
SD,Dakota du Sud,USA,886667,3,21,0,0.3383457374640085,0.1758506566561715,2.368420162248059,43,28,15
PA,Pennsylvanie,USA,13002700,41,3065,0,0.3153191260276712,0.16388288436503345,23.57202734816615,15,29,-14
VT,Vermont,USA,643077,2,819,0,0.3110047474874704,0.16164054401505842,127.35644409611912,46,30,16
OH,Ohio,USA,11799448,36,4773,0,0.30509901819135943,0.15857112046464303,40.45104482853774,17,31,-14
DC,District de Columbia,USA,689545,2,509,0,0.2900463349020006,0.15074769032270807,73.81679223255915,46,32,14
NE,Nebraska,USA,1961504,5,994,0,0.2549064391405778,0.13248420105639822,50.67540010114688,37,33,4
WA,Washington,USA,7705281,16,1843,0,0.207649792395631,0.10792319306571348,23.918660461571744,27,34,-7
IN,Indiana,USA,6785528,13,1585,0,0.19158420685906832,0.09957332057331665,23.358535990124867,31,35,-4
OR,Oregon,USA,4237256,8,224,0,0.1888014318700593,0.09812701061590022,5.28644009236166,34,36,-2
UT,Utah,USA,3271616,5,649,0,0.1528296719419394,0.07943117111205268,19.837291418063735,37,37,0
CA,Californie,USA,39538223,56,3334,0,0.14163509574013988,0.07361294035546334,8.432346592814756,13,38,-25
OK,Oklahoma,USA,3959353,5,383,0,0.12628325890619,0.06563402917318292,9.673297632214153,37,39,-2
AZ,Arizona,USA,7151502,9,2448,0,0.1258476890588858,0.06540764759012482,34.23057142401694,32,40,-8
IA,Iowa,USA,3190369,4,30,0,0.12537734663294434,0.06516319342594648,0.9403300997470825,42,41,1
ID,Idaho,USA,1839106,2,1,0,0.10874848975534851,0.056520568212801076,0.054374244877674255,46,42,4
DE,Delaware,USA,989948,1,85,0,0.10101540686985579,0.05250140215626059,8.586309583937743,51,43,8
FL,Floride,USA,21538187,21,2290,0,0.0975012427926269,0.05067496253503153,10.63227838071979,25,44,-19
VA,Virginie,USA,8631393,8,572,0,0.0926849235111876,0.048171745220532414,6.626972031049912,34,45,-11
MT,Montana,USA,1084225,1,181,0,0.09223177845926814,0.04793622916072389,16.693951901127534,51,46,5
MD,Maryland,USA,6177224,5,57,0,0.08094250750822699,0.042068782078961246,0.9227445855937878,37,47,-10
AL,Alabama,USA,5024279,3,209,0,0.05971005989118041,0.031033502356329654,4.159800839085568,43,48,-5
NC,Caroline du Nord,USA,10439388,6,173,0,0.05747463357047367,0.029871669524182375,1.6571852679486576,36,49,-13
TX,Texas,USA,29145505,14,2724,1,0.04803485134328604,0.024965469387646645,9.34620964707937,30,50,-20
SC,Caroline du Sud,USA,5118425,2,402,0,0.03907451999394345,0.020308457410936318,7.853978518782634,46,51,-5
MS,Mississippi,USA,2961279,1,92,0,0.03376919229832785,0.017551084535359845,3.1067656914461623,51,52,-1
NV,Nevada,USA,3104614,1,1,0,0.032210123384098635,0.016740779388930753,0.032210123384098635,51,53,-2
GA,Georgie,USA,10711908,3,84,0,0.028006215139263706,0.014555854492529025,0.7841740238993836,43,54,-11
LA,Louisiane,USA,4657757,1,72,0,0.021469561421946226,0.011158516440807424,1.5458084223801283,51,55,-4
NM,Nouveau-Mexique,USA,2117522,0,0,0,0,0,0,56,56,0
NU,Nunavut,Canada,36858,0,0,0,0,0,0,56,56,0
HI,Hawai,USA,1455271,0,0,0,0,0,0,56,56,0
WY,Wyoming,USA,576851,0,0,0,0,0,0,56,56,0
KS,Kansas,USA,2937880,0,0,0,0,0,0,56,56,0
KY,Kentucky,USA,4505836,0,0,0,0,0,0,56,56,0
AR,Arkansas,USA,3011524,0,0,0,0,0,0,56,56,0
TN,Tennessee,USA,6910840,0,0,0,0,0,0,56,56,0
WV,Virginie-Occidentale,USA,1793716,0,0,0,0,0,0,56,56,0
