IdCellule,NbJoueurs,TotalPts,PtsMoyen,LisaP,Grappe
644,14,1729,123.5,0.004,Bas-Bas (grappe froide)
764,9,1055,117.22222222222223,0.025,Bas-Bas (grappe froide)
781,36,2082,57.833333333333336,0.009,Bas-Bas (grappe froide)
785,7,51,7.285714285714286,0.344,Non significatif
786,5,857,171.4,0.452,Non significatif
787,5,271,54.2,0.433,Non significatif
788,8,206,25.75,0.273,Non significatif
804,6,172,28.666666666666668,0.498,Non significatif
805,137,18538,135.31386861313868,0.12,Non significatif
807,8,1260,157.5,0.011,Bas-Bas (grappe froide)
818,5,46,9.2,0.057,Non significatif
823,103,11095,107.71844660194175,0.2,Non significatif
842,13,2748,211.3846153846154,0.407,Non significatif
843,17,534,31.41176470588235,0.004,Bas-Bas (grappe froide)
860,20,1030,51.5,0.487,Non significatif
873,8,2448,306,0.051,Non significatif
878,9,941,104.55555555555556,0.233,Non significatif
879,19,1582,83.26315789473684,0.331,Non significatif
881,9,303,33.666666666666664,0.469,Non significatif
897,66,9082,137.6060606060606,0.473,Non significatif
899,9,142,15.777777777777779,0.364,Non significatif
916,169,14971,88.58579881656804,0.494,Non significatif
918,6,399,66.5,0.473,Non significatif
931,5,649,129.8,0.093,Non significatif
934,33,3208,97.21212121212122,0.397,Non significatif
935,55,4936,89.74545454545455,0.258,Non significatif
936,5,932,186.4,0.355,Non significatif
953,17,1660,97.6470588235294,0.184,Non significatif
954,272,28993,106.59191176470588,0.097,Non significatif
971,26,2554,98.23076923076923,0.424,Non significatif
972,49,7640,155.91836734693877,0.266,Non significatif
990,19,2930,154.21052631578948,0.45,Non significatif
991,16,2877,179.8125,0.41,Non significatif
992,6,426,71,0.299,Non significatif
1008,27,2776,102.81481481481481,0.26,Non significatif
1009,42,3985,94.88095238095238,0.182,Non significatif
1023,19,1280,67.36842105263158,0.331,Non significatif
1027,136,12688,93.29411764705883,0.378,Non significatif
1028,10,2017,201.7,0.438,Non significatif
1045,154,14974,97.23376623376623,0.272,Non significatif
1046,33,2024,61.333333333333336,0.391,Non significatif
