r_km,obs,theo,lo,hi,Statut
0,11391.485128708377,0,0,0,Regroupement significatif
3.84354646821612,28268.090818742992,3843.54646821612,0,7731.589800938244,Regroupement significatif
7.68709293643224,47258.22692738827,7687.09293643224,4424.448669428089,10308.78640125099,Regroupement significatif
11.53063940464836,67645.81731465324,11530.63940464836,6589.8383801101145,13789.983874942389,Regroupement significatif
15.37418587286448,87179.55902571649,15374.18587286448,10553.630264017756,17958.58728509668,Regroupement significatif
19.2177323410806,104650.2577344633,19217.7323410806,14982.850331438434,22101.907808907767,Regroupement significatif
23.06127880929672,120725.00582821465,23061.27880929672,20159.28357447767,26007.244431980645,Regroupement significatif
26.904825277512842,138139.23069918272,26904.825277512842,23668.648349660787,30455.348624647337,Regroupement significatif
30.74837174572896,153063.22206546832,30748.37174572896,26911.025294032697,33769.57442562933,Regroupement significatif
34.59191821394508,167617.58451534258,34591.91821394508,31737.573067038848,37752.1006656545,Regroupement significatif
38.4354646821612,182490.20456260367,38435.4646821612,34583.98716587103,41094.6871759862,Regroupement significatif
42.27901115037732,195639.87976094792,42279.01115037732,39055.138046681444,45160.7279789377,Regroupement significatif
46.12255761859344,207370.52211870244,46122.55761859344,42568.30141530545,49171.4257538223,Regroupement significatif
49.96610408680956,221198.90188592204,49966.10408680956,47095.21432333616,53311.911157552626,Regroupement significatif
53.809650555025684,233208.518453758,53809.650555025684,51236.68978108511,56632.51458460049,Regroupement significatif
57.6531970232418,244348.34145993093,57653.1970232418,54394.59714610647,60611.309639492094,Regroupement significatif
61.49674349145792,253022.69257630772,61496.74349145792,57936.573232942144,64361.46443304624,Regroupement significatif
65.34028995967404,260177.66865225293,65340.28995967404,61821.1216046854,68412.5377087438,Regroupement significatif
69.18383642789016,270268.72154034534,69183.83642789016,65461.824901863474,72436.81178922794,Regroupement significatif
73.02738289610629,270586.28483637545,73027.38289610628,69204.52090593947,76444.3138466526,Regroupement significatif
76.8709293643224,278913.14009341504,76870.9293643224,73116.24800411018,81180.35477198494,Regroupement significatif
80.71447583253853,283314.6009275233,80714.47583253852,76828.68810203057,84905.28692254062,Regroupement significatif
84.55802230075464,292006.63351523364,84558.02230075464,80404.55578802018,88637.3138967276,Regroupement significatif
88.40156876897076,293940.78965549316,88401.56876897076,84925.74118011913,92330.65387150027,Regroupement significatif
92.24511523718688,295790.58879109897,92245.11523718688,88636.14623820088,95685.96156743285,Regroupement significatif
96.08866170540301,292412.00667478255,96088.661705403,92257.81169541624,100014.52557967618,Regroupement significatif
99.93220817361912,299879.88109444635,99932.20817361912,94978.21017867945,103366.41809483142,Regroupement significatif
103.77575464183525,306043.835878234,103775.75464183524,98906.11300860778,107271.16611996696,Regroupement significatif
107.61930111005137,303715.32927011425,107619.30111005137,102838.69700312898,111624.87472272398,Regroupement significatif
111.46284757826749,308543.68339516025,111462.84757826748,106745.71189617572,116258.8114542297,Regroupement significatif
115.3063940464836,313998.3751477038,115306.3940464836,110906.17455889653,120406.74108809281,Regroupement significatif
119.14994051469972,316371.5380712872,119149.94051469972,114748.6932468027,123462.66130212352,Regroupement significatif
122.99348698291584,323864.10023603466,122993.48698291584,118404.167198474,127611.52907208589,Regroupement significatif
126.83703345113197,314375.3258262794,126837.03345113197,122368.01339512608,131448.485251743,Regroupement significatif
130.68057991934808,307131.52627258527,130680.57991934808,126066.98342501969,135312.07650923272,Regroupement significatif
134.5241263875642,312825.9179937622,134524.1263875642,129660.48446816426,139358.91578726066,Regroupement significatif
138.3676728557803,320546.2190626465,138367.6728557803,133819.58357535445,143764.1180778492,Regroupement significatif
142.21121932399646,324378.7167256059,142211.21932399645,136830.5173856632,147040.8156362735,Regroupement significatif
146.05476579221258,324562.9528021853,146054.76579221257,140005.23216083477,150936.49966166235,Regroupement significatif
149.89831226042867,332621.6386476335,149898.31226042868,143747.32165673067,155053.68579590577,Regroupement significatif
153.7418587286448,329153.1391293334,153741.8587286448,147278.1806368887,159356.308548064,Regroupement significatif
157.58540519686093,331664.9338843366,157585.40519686093,151194.56316719463,163578.5087472077,Regroupement significatif
161.42895166507705,337375.83669077145,161428.95166507704,154676.67970659895,167345.07254852634,Regroupement significatif
165.27249813329314,343949.6994621664,165272.49813329315,158040.86059285738,170903.1481231951,Regroupement significatif
169.1160446015093,350777.71608325513,169116.0446015093,162296.96367231317,175119.18335922374,Regroupement significatif
172.9595910697254,349319.71929568774,172959.5910697254,166052.16492747577,179075.28563498816,Regroupement significatif
176.80313753794152,353133.3661630468,176803.1375379415,169315.20125645833,183428.20438944595,Regroupement significatif
180.64668400615764,358792.7294534335,180646.68400615765,173072.2416660439,186817.74231336813,Regroupement significatif
184.49023047437376,362229.08193872555,184490.23047437376,176349.63519538965,190996.1360123891,Regroupement significatif
188.33377694258988,365769.3299899121,188333.77694258987,180023.19409643862,195160.19288045686,Regroupement significatif
192.17732341080603,370410.49310791696,192177.323410806,183215.0966374521,199333.46399614762,Regroupement significatif
196.02086987902211,375524.5728917552,196020.86987902212,187441.03548710502,203067.14155202804,Regroupement significatif
199.86441634723823,379377.15712211956,199864.41634723824,190662.3799970229,207165.39052219372,Regroupement significatif
203.70796281545438,380020.8855829389,203707.96281545438,194889.81723486003,211198.61636496824,Regroupement significatif
207.5515092836705,386103.4257262317,207551.5092836705,198575.5223731491,215061.07395189023,Regroupement significatif
211.3950557518866,391597.90194595564,211395.0557518866,202484.72634861086,219137.88101582302,Regroupement significatif
215.23860222010273,396814.53127553157,215238.60222010274,205843.0993763045,223382.52320491482,Regroupement significatif
219.08214868831885,400418.75813180313,219082.14868831885,209718.54539152197,226680.37455553882,Regroupement significatif
222.92569515653497,407092.47617182764,222925.69515653496,213197.40169331487,230914.58624128054,Regroupement significatif
226.76924162475106,413254.5786401131,226769.24162475107,216521.23103977105,235142.8363012035,Regroupement significatif
230.6127880929672,418653.49116974603,230612.7880929672,219808.59714484695,239378.655716832,Regroupement significatif
234.45633456118333,423782.6039725736,234456.33456118335,223041.32823930762,244395.82760921482,Regroupement significatif
238.29988102939944,428927.3631381649,238299.88102939943,226975.26136557464,247537.88547802993,Regroupement significatif
242.14342749761556,434453.311333749,242143.42749761554,230661.7830249784,250869.78550115804,Regroupement significatif
245.98697396583168,440922.5127152138,245986.97396583168,234133.07884814905,254851.7025202856,Regroupement significatif
249.8305204340478,446910.86817094084,249830.5204340478,237737.60213226322,259625.07711581953,Regroupement significatif
253.67406690226395,451921.55948909675,253674.06690226393,240643.11895753504,263076.32671976066,Regroupement significatif
257.51761337048003,455517.43638143176,257517.61337048004,243709.16764835705,267905.26746628433,Regroupement significatif
261.36115983869615,462435.4988596914,261361.15983869616,248001.37831495202,272154.5176005057,Regroupement significatif
265.20470630691227,469547.97065451264,265204.7063069123,251455.08479993968,275937.9046273362,Regroupement significatif
269.0482527751284,473633.2905907834,269048.2527751284,254072.0131370496,279763.57779226475,Regroupement significatif
272.8917992433445,479968.8844381796,272891.7992433445,258295.8866354349,284387.17290786357,Regroupement significatif
276.7353457115606,485602.3388093343,276735.3457115606,261976.5217581371,288269.5587129509,Regroupement significatif
280.57889217977674,491077.3565614895,280578.89217977674,264131.9689786653,292432.5248051067,Regroupement significatif
284.4224386479929,495197.59088357456,284422.4386479929,267058.4492162499,296795.3161948545,Regroupement significatif
288.26598511620904,499059.5615700811,288265.985116209,270687.41003263387,300527.57115657727,Regroupement significatif
292.10953158442516,504399.1347046698,292109.53158442513,274492.3542967097,304836.9184253791,Regroupement significatif
295.9530780526412,504681.6141987674,295953.07805264124,278894.7716290247,309531.9933012486,Regroupement significatif
299.79662452085734,510553.5938519686,299796.62452085735,282891.87711991236,313407.20144213765,Regroupement significatif
303.64017098907345,511627.70168982813,303640.17098907346,286115.85029294033,317902.0891107155,Regroupement significatif
307.4837174572896,515235.3500867686,307483.7174572896,289265.63274843525,322017.02554467286,Regroupement significatif
311.32726392550575,518845.5240159802,311327.26392550574,292067.58016708295,325780.1994608437,Regroupement significatif
315.17081039372187,525369.083009191,315170.81039372185,294975.0099190913,330218.17838031915,Regroupement significatif
319.014356861938,527503.4628654326,319014.35686193797,298662.1175596949,334553.22038886166,Regroupement significatif
322.8579033301541,530767.728463178,322857.9033301541,301623.21279421326,338329.9664466769,Regroupement significatif
326.70144979837016,533620.176921656,326701.4497983702,303271.2432672652,342582.36996064644,Regroupement significatif
330.5449962665863,540278.0888347739,330544.9962665863,305938.6478007856,346384.7403442266,Regroupement significatif
334.38854273480246,540642.717937902,334388.54273480247,309826.1992787197,350867.54681727337,Regroupement significatif
338.2320892030186,544287.5231436451,338232.0892030186,313385.4811584908,355218.511322292,Regroupement significatif
342.0756356712347,550759.2582807671,342075.6356712347,316456.06565193215,359085.4954495245,Regroupement significatif
345.9191821394508,553824.4317274815,345919.1821394508,319196.8912681148,363942.6659769712,Regroupement significatif
349.76272860766693,558812.6200325333,349762.7286076669,322232.49300902546,368317.1350915927,Regroupement significatif
353.60627507588305,562421.895676318,353606.275075883,326315.80080364685,372382.4101428321,Regroupement significatif
357.44982154409917,566920.453070298,357449.8215440992,328903.7457400901,376826.9094678526,Regroupement significatif
361.2933680123153,568262.0834251017,361293.3680123153,332920.13067397743,380669.3066093955,Regroupement significatif
365.1369144805314,571657.7830229049,365136.9144805314,336356.1948802152,385314.63680969103,Regroupement significatif
368.9804609487475,575909.474820305,368980.4609487475,340337.96234515985,389669.59132026654,Regroupement significatif
372.82400741696364,575281.2873185717,372824.00741696364,344205.48991838185,393794.9660171861,Regroupement significatif
376.66755388517976,576990.3467236034,376667.55388517975,347210.3000721672,397559.853897704,Regroupement significatif
