Decennie,NbJoueurs,X,Y,DistanceType_km,longitude,latitude
1890,138,7099572.136600923,1247123.9947532662,813.0716716681792,-80.16871808198,46.62966807113476
1900,222,6866405.331841113,1277174.180656121,1004.6419882984947,-83.1028306322419,47.22744810266426
1910,280,6601757.86663866,1335243.4314292609,1095.3395578393424,-86.49725492463931,48.00634002814347
1920,313,6446825.721555297,1410348.8641972824,1070.9479831803824,-88.51000560175014,48.773914377704536
1930,320,6674464.95258719,1373596.9633146974,1085.8416963463008,-85.48021867136549,48.28850714278481
1940,457,6706103.357499824,1357553.2957528234,1136.5271382808999,-85.08044374022896,48.116129787039306
1950,752,6513199.0607732525,1386394.4836797928,1308.0503529679258,-87.63142880292553,48.523625721444155
1960,905,6370179.1616408555,1438365.9559256325,1388.2212580896967,-89.53726475904212,49.056308532655926
1970,693,6345821.463321173,1491460.6702060627,1434.1275274666718,-89.8473669008523,49.541475865214935
1980,682,6249701.652177542,1500938.0145298797,1444.0489833222762,-91.17678215813109,49.64531177504705
1990,595,6377233.408520908,1409894.5716906895,1406.6326780842246,-89.45556355082407,48.798177631400044
2000,195,6439147.824835314,1456631.3827568984,1480.7519307748084,-88.58175605331319,49.19309713744301
