Equipe,Ville,CodeProv,latitude,longitude
Anaheim Ducks,Anaheim,CA,33.8078,-117.8765
Boston Bruins,Boston,MA,42.3601,-71.0589
Buffalo Sabres,Buffalo,NY,42.8864,-78.8784
Calgary Flames,Calgary,AB,51.0447,-114.0719
Carolina Hurricanes,Raleigh,NC,35.7796,-78.6382
Chicago Blackhawks,Chicago,IL,41.8781,-87.6298
Colorado Avalanche,Denver,CO,39.7392,-104.9903
Columbus Blue Jackets,Columbus,OH,39.9612,-82.9988
Dallas Stars,Dallas,TX,32.7767,-96.7970
Detroit Red Wings,Detroit,MI,42.3314,-83.0458
Edmonton Oilers,Edmonton,AB,53.5461,-113.4938
Florida Panthers,Sunrise,FL,26.1503,-80.3247
Los Angeles Kings,Los Angeles,CA,34.0522,-118.2437
Minnesota Wild,Saint Paul,MN,44.9537,-93.0900
Montreal Canadiens,Montreal,QC,45.5019,-73.5674
Nashville Predators,Nashville,TN,36.1627,-86.7816
New Jersey Devils,Newark,NJ,40.7357,-74.1724
New York Islanders,Elmont,NY,40.7004,-73.7085
New York Rangers,New York,NY,40.7505,-73.9934
Ottawa Senators,Ottawa,ON,45.4215,-75.6972
Philadelphia Flyers,Philadelphie,PA,39.9526,-75.1652
Pittsburgh Penguins,Pittsburgh,PA,40.4406,-79.9959
San Jose Sharks,San Jose,CA,37.3382,-121.8863
Seattle Kraken,Seattle,WA,47.6062,-122.3321
St. Louis Blues,Saint Louis,MO,38.6270,-90.1994
Tampa Bay Lightning,Tampa,FL,27.9506,-82.4572
Toronto Maple Leafs,Toronto,ON,43.6532,-79.3832
Utah Hockey Club,Salt Lake City,UT,40.7608,-111.8910
Vancouver Canucks,Vancouver,BC,49.2827,-123.1207
Vegas Golden Knights,Las Vegas,NV,36.1699,-115.1398
Washington Capitals,Washington,DC,38.9072,-77.0369
Winnipeg Jets,Winnipeg,MB,49.8951,-97.1384
