CodeProv,NomUnite,Pays,Population,AnneeRecensement,Source,URL_source,DateVerification
NL,Terre-Neuve-et-Labrador,Canada,510550,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
PE,Ile-du-Prince-Edouard,Canada,154331,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
NS,Nouvelle-Ecosse,Canada,969383,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
NB,Nouveau-Brunswick,Canada,775610,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
QC,Quebec,Canada,8501833,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
ON,Ontario,Canada,14223942,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
MB,Manitoba,Canada,1342153,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
SK,Saskatchewan,Canada,1132505,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
AB,Alberta,Canada,4262635,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
BC,Colombie-Britannique,Canada,5000879,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
YT,Yukon,Canada,40232,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
NT,Territoires du Nord-Ouest,Canada,41070,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
NU,Nunavut,Canada,36858,2021,"Statistique Canada, tableau 98-10-0001-01, Recensement de 2021",https://doi.org/10.25318/9810000101-fra,2026-08-08
AL,Alabama,USA,5024279,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
AK,Alaska,USA,733391,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
AZ,Arizona,USA,7151502,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
AR,Arkansas,USA,3011524,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
CA,Californie,USA,39538223,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
CO,Colorado,USA,5773714,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
CT,Connecticut,USA,3605944,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
DE,Delaware,USA,989948,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
DC,District de Columbia,USA,689545,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
FL,Floride,USA,21538187,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
GA,Georgie,USA,10711908,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
HI,Hawai,USA,1455271,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
ID,Idaho,USA,1839106,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
IL,Illinois,USA,12812508,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
IN,Indiana,USA,6785528,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
IA,Iowa,USA,3190369,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
KS,Kansas,USA,2937880,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
KY,Kentucky,USA,4505836,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
LA,Louisiane,USA,4657757,2020,"US Census Bureau, 2020 Census, Table 2 (resident population)",https://www2.census.gov/programs-surveys/decennial/2020/data/apportionment/apportionment-2020-table02.pdf,2026-08-08
