Birthplace,Country,NbJoueurs,latitude,longitude
"Toronto, ON, Canada",Canada,442,43.6534817,-79.3839347
"Montreal, QC, Canada",Canada,277,45.5031824,-73.5698065
"Edmonton, AB, Canada",Canada,208,53.5462055,-113.491241
"Winnipeg, MB, Canada",Canada,207,49.8955367,-97.1384584
"Ottawa, ON, Canada",Canada,170,45.4208777,-75.6901106
"Calgary, AB, Canada",Canada,151,51.0456064,-114.057541
"Regina, SK, Canada",Canada,104,50.4479733,-104.6158764
"Saskatoon, SK, Canada",Canada,95,52.131802,-106.660767
"Moscow, Russia",Russia,80,55.625578,37.6063916
"Stockholm, Sweden",Sweden,80,59.3251172,18.0710935
"Sudbury, ON, Canada",Canada,69,46.49272,-80.991211
"Hamilton, ON, Canada",Canada,65,43.2560802,-79.8728583
"Kitchener, ON, Canada",Canada,64,43.451291,-80.4927815
"London, ON, Canada",Canada,63,42.9836747,-81.2496068
"Kingston, ON, Canada",Canada,59,44.3054151,-76.4283781
"Vancouver, BC, Canada",Canada,56,49.2608724,-123.113952
"Quebec, QC, Canada",Canada,55,46.8137431,-71.2084061
"Windsor, ON, Canada",Canada,52,42.2858536,-82.9780695
"Thunder Bay, ON, Canada",Canada,45,48.406414,-89.259796
"Detroit, MI, USA",USA,43,42.3315509,-83.046640300000007
"Peterborough, ON, Canada",Canada,42,44.3048009,-78.3199496
"Sault Ste. Marie, ON, Canada",Canada,41,46.5126554,-84.3330301
"Brandon, MB, Canada",Canada,40,49.8511143,-99.9608924
"Mississauga, ON, Canada",Canada,37,43.5884727,-79.643658
"Scarborough, ON, Canada",Canada,37,43.7729744,-79.2576479
"Minneapolis, MN, USA",USA,36,44.9772995,-93.2654692
"Boston, MA, USA",USA,34,42.3588336,-71.0578303
"Fort William, ON, Canada",Canada,34,48.3824086,-89.2456153
"Helsinki, Finland",Finland,32,60.1666204,24.9435408
"St. Catharines, ON, Canada",Canada,32,43.1579812,-79.2441003
"St. Paul, MN, USA",USA,32,44.9497487,-93.0931028
"Brantford, ON, Canada",Canada,31,43.1408157,-80.2631733
"Oshawa, ON, Canada",Canada,31,43.8975558,-78.8635324
"Prague, Czech Republic",Czech Republic,31,50.0874654,14.4212535
"Sarnia, ON, Canada",Canada,31,42.9743821,-82.403533
"Tampere, Finland",Finland,30,61.4977988,23.7616335
"Chelyabinsk, Russia",Russia,29,55.1559312,61.3997019
"Laval, QC, Canada",Canada,28,45.605589,-73.7345601
"Chicago, IL, USA",USA,27,41.8755616,-87.6244212
"Niagara Falls, ON, Canada",Canada,27,43.1065603,-79.0639039
"Oakville, ON, Canada",Canada,27,43.447436,-79.666672
"Rouyn-Noranda, QC, Canada",Canada,27,48.2420524,-79.0205378
"Belleville, ON, Canada",Canada,26,44.2436328,-77.3607597
"Victoria, BC, Canada",Canada,26,48.4283182,-123.364953
"Riga, Latvia",Latvia,25,56.9493977,24.1051846
"Timmins, ON, Canada",Canada,25,48.477473,-81.330414
"Burnaby, BC, Canada",Canada,24,49.2433804,-122.972545
"Guelph, ON, Canada",Canada,24,43.5460516,-80.2493276
"Halifax, NS, Canada",Canada,24,44.648618,-63.5859487
"Barrie, ON, Canada",Canada,23,44.3893208,-79.6901302
"North Bay, ON, Canada",Canada,23,46.3092115,-79.4607617
"Buffalo, NY, USA",USA,22,42.8864163,-78.8781493
"Moose Jaw, SK, Canada",Canada,22,50.3967209,-105.535666
"Oulu, Finland",Finland,22,65.0117914,25.4701973
"Red Deer, AB, Canada",Canada,22,52.2690628,-113.8141464
