Player Name,Pos.,Birthdate,Birthplace,Country,GP,G,A,Pts
Wayne Gretzky,C,1961-01-26,"Brantford, ON, Canada",Canada,1487,894,1963,2857
Jaromir Jagr,R,1972-02-15,"Kladno, Czech Republic",Czech Republic,1733,766,1155,1921
Mark Messier,C,1961-01-18,"Edmonton, AB, Canada",Canada,1756,694,1193,1887
Gordie Howe,R,1928-03-31,"Floral, SK, Canada",Canada,1767,801,1049,1850
Ron Francis,C,1963-03-01,"Sault Ste. Marie, ON, Canada",Canada,1731,549,1249,1798
Marcel Dionne,F,1951-08-03,"Drummondville, QC, Canada",Canada,1348,731,1040,1771
Sidney Crosby,C,1987-08-07,"Cole Harbour, NS, Canada",Canada,1420,654,1107,1761
Steve Yzerman,C,1965-05-09,"Cranbrook, BC, Canada",Canada,1514,692,1063,1755
Mario Lemieux,F,1965-10-05,"Montreal, QC, Canada",Canada,915,690,1033,1723
Alex Ovechkin,L,1985-09-17,"Moscow, Russia",Russia,1573,929,758,1687
Joe Sakic,C,1969-07-07,"Burnaby, BC, Canada",Canada,1378,625,1016,1641
Phil Esposito,C,1942-02-20,"Sault Ste. Marie, ON, Canada",Canada,1282,717,873,1590
Ray Bourque,D,1960-12-28,"Montreal, QC, Canada",Canada,1612,410,1169,1579
Joe Thornton,C,1979-07-02,"London, ON, Canada",Canada,1714,430,1109,1539
Mark Recchi,R,1968-02-01,"Kamloops, BC, Canada",Canada,1652,577,956,1533
Paul Coffey,D,1961-06-01,"Weston, ON, Canada",Canada,1409,396,1135,1531
Stan Mikita,F,1940-05-20,"Sokolce, Slovakia",Slovakia,1394,541,926,1467
Teemu Selanne,R,1970-07-03,"Helsinki, Finland",Finland,1451,684,773,1457
Bryan Trottier,F,1956-07-17,"Val Marie, SK, Canada",Canada,1279,524,901,1425
Adam Oates,C,1962-08-27,"Weston, ON, Canada",Canada,1337,341,1079,1420
Doug Gilmour,C,1963-06-25,"Kingston, ON, Canada",Canada,1474,450,964,1414
Dale Hawerchuk,C,1963-04-04,"Toronto, ON, Canada",Canada,1188,518,891,1409
Evgeni Malkin,C,1986-07-31,"Magnitogorsk, Russia",Russia,1269,533,874,1407
Patrick Kane,R,1988-11-19,"Buffalo, NY, USA",USA,1369,508,892,1400
Jari Kurri,R,1960-05-18,"Helsinki, Finland",Finland,1251,601,797,1398
Luc Robitaille,L,1966-02-17,"Montreal, QC, Canada",Canada,1431,668,726,1394
Brett Hull,R,1964-08-09,"Belleville, ON, Canada",Canada,1269,741,650,1391
Mike Modano,C,1970-06-07,"Livonia, MI, USA",USA,1499,561,813,1374
Johnny Bucyk,L,1935-05-12,"Edmonton, AB, Canada",Canada,1540,556,813,1369
Brendan Shanahan,L,1969-01-23,"Mimico, ON, Canada",Canada,1524,656,698,1354
Guy Lafleur,R,1951-09-20,"Thurso, QC, Canada",Canada,1126,560,793,1353
Mats Sundin,C,1971-02-13,"Bromma, Sweden",Sweden,1346,564,785,1349
Dave Andreychuk,L,1963-09-29,"Hamilton, ON, Canada",Canada,1639,640,698,1338
Denis Savard,F,1961-02-04,"Pointe Gatineau, QC, Canada",Canada,1196,473,865,1338
Mike Gartner,R,1959-10-29,"Ottawa, ON, Canada",Canada,1432,708,627,1335
Pierre Turgeon,C,1969-08-28,"Rouyn-Noranda, QC, Canada",Canada,1294,515,812,1327
Gilbert Perreault,C,1950-11-13,"Victoriaville, QC, Canada",Canada,1191,512,814,1326
Anze Kopitar,C,1987-08-24,"Jesenice, Slovenia",Slovenia,1521,452,864,1316
Jarome Iginla,R,1977-07-01,"Edmonton, AB, Canada",Canada,1554,625,675,1300
Alex Delvecchio,C,1931-12-04,"Fort William, ON, Canada",Canada,1550,456,825,1281
Al MacInnis,D,1963-07-11,"Inverness, NS, Canada",Canada,1416,340,934,1274
Jean Ratelle,C,1940-10-03,"Lac St. Jean, QC, Canada",Canada,1281,491,776,1267
Steven Stamkos,C,1990-02-07,"Markham, ON, Canada",Canada,1246,624,632,1256
Peter Stastny,F,1956-09-18,"Bratislava, Slovakia",Slovakia,977,450,789,1239
Phil Housley,D,1964-03-09,"St. Paul, MN, USA",USA,1495,338,894,1232
Norm Ullman,C,1935-12-26,"Provost, AB, Canada",Canada,1410,490,739,1229
Connor McDavid,C,1997-01-13,"Richmond Hill, ON, Canada",Canada,794,409,811,1220
Jean Beliveau,C,1931-08-31,"Trois-Rivieres, QC, Canada",Canada,1125,507,712,1219
Larry Murphy,D,1961-03-08,"Scarborough, ON, Canada",Canada,1615,287,929,1216
Jeremy Roenick,C,1970-01-17,"Boston, MA, USA",USA,1363,513,703,1216
Bobby Clarke,C,1949-08-13,"Flin Flon, MB, Canada",Canada,1144,358,852,1210
Bernie Nicholls,C,1961-06-24,"Haliburton, ON, Canada",Canada,1127,475,734,1209
Vincent Damphousse,C,1967-12-17,"Montreal, QC, Canada",Canada,1378,432,773,1205
Dino Ciccarelli,R,1960-02-08,"Sarnia, ON, Canada",Canada,1232,608,592,1200
Patrick Marleau,C,1979-09-15,"Swift Current, SK, Canada",Canada,1779,566,631,1197
John Tavares,C,1990-09-20,"Mississauga, ON, Canada",Canada,1266,525,660,1185
Rod Brind'Amour,L,1970-08-09,"Ottawa, ON, Canada",Canada,1484,452,732,1184
Sergei Fedorov,C,1969-12-13,"Pskov, Russia",Russia,1248,483,696,1179
Bobby Hull,L,1939-01-03,"Point Anne, ON, Canada",Canada,1063,610,560,1170
Claude Giroux,R,1988-01-12,"Hearst, ON, Canada",Canada,1345,379,786,1165
Daniel Alfredsson,R,1972-12-11,"Gothenburg, Sweden",Sweden,1246,444,713,1157
Michel Goulet,L,1960-04-21,"Peribonka, QC, Canada",Canada,1089,548,604,1152
Nathan MacKinnon,C,1995-09-01,"Halifax, NS, Canada",Canada,950,420,722,1142
Nicklas Lidstrom,D,1970-04-28,"Vasteras, Sweden",Sweden,1564,264,878,1142
Marian Hossa,R,1979-01-12,"Stara Lubovna, Slovakia",Slovakia,1309,525,609,1134
Bernie Federko,C,1956-05-12,"Foam Lake, SK, Canada",Canada,1000,369,761,1130
Joe Nieuwendyk,C,1966-09-10,"Oshawa, ON, Canada",Canada,1257,564,562,1126
Mike Bossy,F,1957-01-22,"Montreal, QC, Canada",Canada,752,573,553,1126
Nikita Kucherov,R,1993-06-17,"Maykop, Russia",Russia,879,401,723,1124
Darryl Sittler,C,1950-09-18,"Kitchener, ON, Canada",Canada,1096,484,637,1121
Frank Mahovlich,L,1938-01-10,"Timmins, ON, Canada",Canada,1181,533,570,1103
Glenn Anderson,F,1960-10-02,"Vancouver, BC, Canada",Canada,1129,498,601,1099
Theoren Fleury,R,1968-06-29,"Oxbow, SK, Canada",Canada,1084,455,633,1088
Henrik Sedin,C,1980-09-26,"Ornskoldsvik, Sweden",Sweden,1330,240,830,1070
Dave Taylor,F,1955-12-04,"Levack, ON, Canada",Canada,1111,431,638,1069
Joe Pavelski,C,1984-07-11,"Plover, WI, USA",USA,1332,476,592,1068
Keith Tkachuk,C,1972-03-28,"Melrose, MA, USA",USA,1201,538,527,1065
Ray Whitney,L,1972-05-08,"Fort Saskatchewan, AB, Canada",Canada,1330,385,679,1064
Eric Staal,C,1984-10-29,"Thunder Bay, ON, Canada",Canada,1365,455,608,1063
Pat Verbeek,R,1964-05-24,"Sarnia, ON, Canada",Canada,1424,522,541,1063
Joe Mullen,F,1957-02-26,"New York, NY, USA",USA,1062,502,561,1063
Leon Draisaitl,C,1995-10-27,"Cologne, Germany",Germany,855,434,619,1053
Denis Potvin,D,1953-10-29,"Hull, QC, Canada",Canada,1060,310,742,1052
Henri Richard,F,1936-02-29,"Montreal, QC, Canada",Canada,1258,358,688,1046
Daniel Sedin,L,1980-09-26,"Ornskoldsvik, Sweden",Sweden,1306,393,648,1041
Patrice Bergeron,C,1985-07-24,"L'Ancienne Lorette, QC, Canada",Canada,1294,427,613,1040
Bobby Smith,F,1958-02-12,"North Sydney, NS, Canada",Canada,1077,357,679,1036
Brad Marchand,L,1988-05-11,"Halifax, NS, Canada",Canada,1152,451,583,1034
Martin St. Louis,R,1975-06-18,"Laval, QC, Canada",Canada,1134,391,642,1033
Nicklas Backstrom,C,1987-11-23,"Gavle, Sweden",Sweden,1105,271,762,1033
Doug Weight,C,1971-01-21,"Detroit, MI, USA",USA,1238,278,755,1033
Alexander Mogilny,R,1969-02-18,"Khabarovsk, Russia",Russia,990,473,559,1032
Alexei Kovalev,R,1973-02-24,"Togliatti, Russia",Russia,1316,430,599,1029
Brian Leetch,D,1968-03-03,"Corpus Christi, TX, USA",USA,1205,247,781,1028
Patrik Elias,L,1976-04-13,"Trebic, Czech Republic",Czech Republic,1240,408,617,1025
Brian Bellows,R,1964-09-01,"St. Catharines, ON, Canada",Canada,1188,485,537,1022
