Country,n,Pourcentage
Canada,5598,63.6
USA,1492,16.95
Sweden,438,4.98
Russia,312,3.54
Finland,275,3.12
Czech Republic,271,3.08
Slovakia,95,1.08
Switzerland,44,0.5
Germany,42,0.48
Latvia,29,0.33
England,21,0.24
Belarus,20,0.23
Denmark,19,0.22
Ukraine,19,0.22
Scotland,17,0.19
France,14,0.16
Austria,12,0.14
Kazakhstan,12,0.14
Norway,12,0.14
Poland,8,0.09
Italy,4,0.05
Northern Ireland,4,0.05
Wales,4,0.05
Lithuania,3,0.03
Belgium,2,0.02
Croatia,2,0.02
Ireland,2,0.02
Japan,2,0.02
Netherlands,2,0.02
Nigeria,2,0.02
Serbia,2,0.02
Slovenia,2,0.02
South Africa,2,0.02
South Korea,2,0.02
United Kingdom,2,0.02
Venezuela,2,0.02
Australia,1,0.01
Bahamas,1,0.01
Brazil,1,0.01
Brunei,1,0.01
Bulgaria,1,0.01
Estonia,1,0.01
Haiti,1,0.01
Jamaica,1,0.01
Lebanon,1,0.01
Paraguay,1,0.01
Taiwan,1,0.01
Tanzania,1,0.01
Uzbekistan,1,0.01
