Birthplace,GroupeGeo,Joueurs,TotalPts,MoyennePts
"Toronto, ON, Canada",Canada,442,49067,111
"Montreal, QC, Canada",Canada,277,37152,134.1
"Edmonton, AB, Canada",Canada,208,23727,114.1
"Winnipeg, MB, Canada",Canada,207,20970,101.3
"Ottawa, ON, Canada",Canada,170,19725,116
"Calgary, AB, Canada",Canada,151,13439,89
"London, ON, Canada",Canada,63,12243,194.3
"Moscow, Russia",Europe,80,11894,148.7
"Regina, SK, Canada",Canada,104,10593,101.9
"Kitchener, ON, Canada",Canada,64,10166,158.8
"Vancouver, BC, Canada",Canada,56,8918,159.2
"Hamilton, ON, Canada",Canada,65,8776,135
"Sudbury, ON, Canada",Canada,69,8774,127.2
"Kingston, ON, Canada",Canada,59,8333,141.2
"Stockholm, Sweden",Europe,80,7374,92.2
"Windsor, ON, Canada",Canada,52,7229,139
"Sault Ste. Marie, ON, Canada",Canada,41,7075,172.6
"Rouyn-Noranda, QC, Canada",Canada,27,6788,251.4
"Saskatoon, SK, Canada",Canada,95,6722,70.8
"Scarborough, ON, Canada",Canada,37,6625,179.1
