Birthplace_original,Birthplace,Country,NbJoueurs,latitude,longitude
"Toronto, ON, Canada","Toronto, ON, Canada",Canada,442,43.6534817,-79.3839347
"Montreal, QC, Canada","Montreal, QC, Canada",Canada,277,45.5031824,-73.5698065
"Edmonton, AB, Canada","Edmonton, AB, Canada",Canada,208,53.5462055,-113.491241
"Winnipeg, MB, Canada","Winnipeg, MB, Canada",Canada,207,49.8955367,-97.1384584
"Ottawa, ON, Canada","Ottawa, ON, Canada",Canada,170,45.4208777,-75.6901106
"Calgary, AB, Canada","Calgary, AB, Canada",Canada,151,51.0456064,-114.057541
"Regina, SK, Canada","Regina, SK, Canada",Canada,104,50.4479733,-104.6158764
"Saskatoon, SK, Canada","Saskatoon, SK, Canada",Canada,95,52.131802,-106.660767
"Moscow, Russia","Moscow, Russia",Russia,80,55.625578,37.6063916
"Stockholm, Sweden","Stockholm, Sweden",Sweden,80,59.3251172,18.0710935
"Sudbury, ON, Canada","Sudbury, ON, Canada",Canada,69,46.49272,-80.991211
"Hamilton, ON, Canada","Hamilton, ON, Canada",Canada,64,43.2560802,-79.8728583
"Kitchener, ON, Canada","Kitchener, ON, Canada",Canada,64,43.451291,-80.4927815
"London, ON, Canada","London, ON, Canada",Canada,63,42.9836747,-81.2496068
"Kingston, ON, Canada","Kingston, ON, Canada",Canada,59,44.3054151,-76.4283781
"Vancouver, BC, Canada","Vancouver, BC, Canada",Canada,56,49.2608724,-123.113952
"Quebec, QC, Canada","Quebec, QC, Canada",Canada,55,46.8137431,-71.2084061
"Windsor, ON, Canada","Windsor, ON, Canada",Canada,52,42.2858536,-82.9780695
"Thunder Bay, ON, Canada","Thunder Bay, ON, Canada",Canada,45,48.406414,-89.259796
"Detroit, MI, USA","Detroit, MI, USA",USA,43,42.3315509,-83.046640300000007
"Peterborough, ON, Canada","Peterborough, ON, Canada",Canada,42,44.3048009,-78.3199496
"Sault Ste. Marie, ON, Canada","Sault Ste. Marie, ON, Canada",Canada,41,46.5126554,-84.3330301
"Brandon, MB, Canada","Brandon, MB, Canada",Canada,40,49.8511143,-99.9608924
