Pays,Population,NbJoueurs,TotalPts,NbElite,TauxParMillion,QL,RangBrut,RangTaux,DeplacementRang
Canada,37589262,5598,670228,72,148.92550963091534,129.89034812395238,1,1,0
Finland,5520314,275,28452,2,49.816006843089,43.448691141163586,5,2,3
Sweden,10285453,438,58768,6,42.58441509576681,37.14141731092524,3,3,0
Czechia,10669709,271,36929,2,25.399005727335208,22.152589600680308,6,4,2
Slovakia,5454073,95,15132,3,17.418175370956714,15.191842339332574,7,5,2
Latvia,1912789,29,1595,0,15.16110768098311,13.223265507085582,11,6,5
Switzerland,8574832,44,4943,0,5.131295866787827,4.475430758074165,9,7,2
United States of America,328239523,1492,157498,10,4.54546115094129,3.964475480009385,2,8,-6
Denmark,5818553,19,2714,0,3.265416676620459,2.848042017429785,13,9,4
Bahamas,389482,1,2,0,2.5675127477007926,2.2393418390042656,33,10,23
Brunei,433285,1,160,0,2.3079497328548184,2.0129553022584656,33,11,22
Norway,5347896,12,963,0,2.243873104488195,1.9570687346329683,16,12,4
Russia,144373535,312,41608,6,2.1610608897260843,1.8848413007230622,4,13,-9
Belarus,9466856,20,1180,0,2.112633803661955,1.8426040031433017,12,14,-2
Austria,8877067,12,1964,0,1.35179784043536,1.1790155529600836,16,15,1
Lithuania,2786844,3,754,0,1.0764865202357936,0.9388936066809545,21,16,5
Slovenia,2087946,2,1320,1,0.9578791788676527,0.8354462597586905,22,17,5
Estonia,1326590,1,170,0,0.753812406244582,0.6574626208090362,33,18,15
United Kingdom,66834405,48,4834,0,0.7181929726164241,0.6263959442846068,8,19,-11
Kazakhstan,18513930,12,577,0,0.6481606012337737,0.5653148768342925,16,20,-4
Germany,83132799,42,6727,1,0.5052157572608617,0.44064076564823107,10,21,-11
Croatia,4067500,2,2,0,0.4917025199754149,0.42885474524354483,22,22,0
Ukraine,44385155,19,3488,0,0.4280710521344355,0.37335643921131123,13,23,-10
Ireland,4941444,2,49,0,0.404739990982393,0.3530074764133963,22,24,-2
Jamaica,2948279,1,10,0,0.339180925550126,0.2958279518794047,33,25,8
Serbia,6944975,2,869,0,0.28797799848091604,0.2511696120256903,22,26,-4
Poland,37970874,8,966,0,0.2106878024456324,0.18375839084221435,19,27,-8
France,67059887,14,1226,0,0.20876861901064642,0.18208451102738707,15,28,-13
Belgium,11484055,2,3,0,0.17415451249580396,0.1518946640605708,22,29,-7
Lebanon,6855713,1,9,0,0.1458637489638204,0.12721993148474264,33,30,3
Bulgaria,6975761,1,8,0,0.14335353519135763,0.1250305648572334,33,31,2
Paraguay,7044636,1,437,0,0.14195197594311473,0.12380814823350127,33,32,1
Netherlands,17332850,2,341,0,0.1153878329299567,0.1006393453054817,22,33,-11
Haiti,11263077,1,53,0,0.08878568440933148,0.07743739460709177,33,34,-1
Venezuela,28515829,2,147,0,0.07013648454688097,0.06117187321743719,22,35,-13
Italy,60297396,4,127,0,0.06633785644739948,0.05785877308128261,20,36,-16
Taiwan,23568378,1,329,0,0.04242973360322038,0.037006506690407774,33,37,-4
Australia,25364307,1,92,0,0.03942548085386287,0.03438624749885969,33,38,-5
South Korea,51709098,2,275,0,0.03867791312082063,0.03373423137796987,22,39,-17
South Africa,58558270,2,18,0,0.03415401445432045,0.0297885623376189,22,40,-18
Uzbekistan,33580650,1,76,0,0.029779054306572388,0.025972794991730636,33,41,-8
Tanzania,58005463,1,14,0,0.017239755503718677,0.015036227503934574,33,42,-9
Japan,126264931,2,7,0,0.01583971086952085,0.013815131901336236,22,43,-21
Nigeria,200963599,2,8,0,0.009952051067716,0.00868001312157093,22,44,-22
Brazil,211049527,1,199,0,0.004738224312627813,0.004132600297839376,33,45,-12
