Code,Unite,Pays,Population,NbJoueurs,TauxPar100k,QL,LisaIi,LisaZ,LisaP,Grappe
WA,Washington,USA,7705281,16,0.207649792395631,0.10792319306571348,-0.018771756784043508,-0.11337021842577528,0.339,Non significatif
BC,Colombie-Britannique,Canada,5000879,423,8.458512993415757,4.396198620309634,0.664242613380774,2.7814231416183115,0.02,Haut-Haut (grappe chaude)
ID,Idaho,USA,1839106,2,0.10874848975534851,0.056520568212801076,0.17159351445840096,1.0813892676337649,0.016,Bas-Bas (grappe froide)
MT,Montana,USA,1084225,1,0.09223177845926814,0.04793622916072389,-0.2580027429393589,-1.720907343746901,0.066,Non significatif
AB,Alberta,Canada,4262635,669,15.694517592991192,8.157014908228067,1.6129872496065039,3.179076952595513,0.01,Haut-Haut (grappe chaude)
SK,Saskatchewan,Canada,1132505,541,47.77020852005069,24.82792483161324,4.113484759868212,3.3033643039886886,0.005,Haut-Haut (grappe chaude)
ND,Dakota du Nord,USA,779094,21,2.6954385478517353,1.4009180141260273,-0.09907129383820788,-2.7461099618823197,0.019,Bas-Haut (valeur atypique)
MB,Manitoba,Canada,1342153,413,30.771454521205854,15.993050553489477,4.870089302476501,4.145677441985746,0.006,Haut-Haut (grappe chaude)
MN,Minnesota,USA,5706494,315,5.5200268325875745,2.868959870887895,0.13153568522291667,1.3454270209403603,0.109,Non significatif
ON,Ontario,Canada,14223942,2447,17.203388484008162,8.941230305719047,1.3964509639420575,1.946119960683574,0.069,Non significatif
MI,Michigan,USA,10077331,207,2.054115320812624,1.0675988730339088,0.005051256166018549,0.07952388364174955,0.391,Non significatif
OH,Ohio,USA,11799448,36,0.30509901819135943,0.15857112046464303,0.14432334077114076,0.9606212413584572,0.125,Non significatif
PA,Pennsylvanie,USA,13002700,41,0.3153191260276712,0.16388288436503345,0.15361953809182452,1.0784662676659746,0.06,Non significatif
NY,New York,USA,20201249,150,0.7425283456483309,0.385919143379099,0.09406790284610764,0.6293285450782209,0.33,Non significatif
QC,Quebec,Canada,8501833,892,10.491855109362886,5.453000898878276,0.5999132449043733,1.723486188139784,0.077,Non significatif
VT,Vermont,USA,643077,2,0.3110047474874704,0.16164054401505842,-0.08562457915866398,-0.5757537606854239,0.255,Non significatif
NH,New Hampshire,USA,1377529,15,1.088906295257668,0.5659444345104807,-0.06107856773715847,-0.5941499022273246,0.234,Non significatif
ME,Maine,USA,1362359,9,0.6606188236727617,0.34334776850747334,-0.1719669751654257,-1.4883126472135593,0.092,Non significatif
NB,Nouveau-Brunswick,Canada,775610,54,6.962261961552842,3.6185422252632593,0.20342998360809977,1.2097669863566085,0.131,Non significatif
AZ,Arizona,USA,7151502,9,0.1258476890588858,0.06540764759012482,0.17063284100716364,1.0455937723066802,0.026,Bas-Bas (grappe froide)
CA,Californie,USA,39538223,56,0.14163509574013988,0.07361294035546334,0.17066593445325207,0.9948797137157335,0.028,Bas-Bas (grappe froide)
