Birthplace,GroupeGeo,n
"Toronto, ON, Canada",Canada,442
"Montreal, QC, Canada",Canada,277
"Edmonton, AB, Canada",Canada,208
"Winnipeg, MB, Canada",Canada,207
"Ottawa, ON, Canada",Canada,170
"Calgary, AB, Canada",Canada,151
"Regina, SK, Canada",Canada,104
"Saskatoon, SK, Canada",Canada,95
"Moscow, Russia",Europe,80
"Stockholm, Sweden",Europe,80
"Sudbury, ON, Canada",Canada,69
"Hamilton, ON, Canada",Canada,65
"Kitchener, ON, Canada",Canada,64
"London, ON, Canada",Canada,63
"Kingston, ON, Canada",Canada,59
"Vancouver, BC, Canada",Canada,56
"Quebec, QC, Canada",Canada,55
"Windsor, ON, Canada",Canada,52
"Thunder Bay, ON, Canada",Canada,45
"Detroit, MI, USA",USA,43
